index,year,name,default,alive,dateOfBirth,dateOfEnd,old,ageSummary,ageValue,ageOtherInfo,young,gender,nation,glass,zodiac,educationGeneral,educationDegree,educationGeneral_U1,educationGeneral_A1,educationGeneral_U2,educationGeneral_A2,educationGeneral_U3,educationGeneral_A3,educationAbroad,educationAbroad_img,educationAbroad_O,educationAbroad_U1,educationAbroad_A1,educationAbroad_U2,educationAbroad_A2,educationAbroad_U3,educationAbroad_A3,otherCareer,otherCareer_O1,otherCareer_role1_r,otherCareer_role1_b,otherCareer_role1_g,otherCareer_O2,otherCareer_role2_r,otherCareer_role2_b,teach,travel,travel_O1,travel_location1,travel_O2,travel_works,travel_O3,travel_figures,travel_O4,travel_location2,travel_O5,work,age,corbu,esTime,thingsDone_studied,thingsDone_worked,thingsDone_traveled,thingsDone_taught,thingsDone_O1,wonTime
0,2023,David Chipperfield,2023,1,12/18/1953,8/11/2023,69,he is at the age of,69,,2023,Male,United Kingdom,glass,Sagittarius,Y,M.Arch,Kingston School of Art,"(London, United Kingdom, graduated in 1976)",  ->  Architectural Association School of Architecture,"(London, United Kingdom, graduated in 1977)",,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,had wanted to be ,"a veterinarian,",,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,Y,2023,NA,8,"studied,","worked,",,,before established his own practice.,38
1,2022,Diebedo Francis Kere,2022,1,4/10/1965,8/11/2023,58,he is at the age of,58,,2022,Male,Burkina_Faso(Germany),eye,Aries,N,Bsc,Technical University Berlin,"(Berlin, Germany, graduated in 2004)",,,,,Y,bfaToGermany,,Technical University Berlin,"(Berlin, Germany, graduated in 2004)",,,,,Y,have been,"a carpenter, ",,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2022,NA,1,"studied,","worked,",,,before established his own practice.,17
2,2021,Jean-Philippe Vassal,2021_1,1,2/22/1954,8/11/2023,69,he is at the age of,69,,2021_1,Male,France,glass,Pisces,Y,B.Arch,ENSAP Bordeaux,"(Talence, France, graduated in 1980)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,Y,2021_1,NA,7,,"worked,",,,before established his own practice.,34
3,2021,Anne Lacaton,2021_2,1,8/2/1955,8/11/2023,68,she is at the age of,68,,2021_2,Female,France,glass,Leo,Y,M.Arch,ENSAP Bordeaux,"(Talence, France, graduated in 1984)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,Y,2021_2,NA,3,"studied,",,,,before established her own practice.,34
4,2020,Yvonne Farrell ,2020_2,1,1/1/1951,8/11/2023,72,she is at the age of,72,,2020_2,Female,Ireland,eye,NA,Y,B.Arch,University College Dublin ,"(Dublin, Ireland, graduated in 1976)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2020_2,NA,2,,,,"taught,",before established her own practice.,42
5,2020,Shelley McNamara,2020_1,1,1/1/1952,8/11/2023,71,she is at the age of,71,,2020_1,Female,Ireland,eye,NA,Y,B.Arch,University College Dublin,"(Dublin, Ireland, graduated in 1976)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2020_1,NA,2,,,,"taught,",before established her own practice.,42
6,2019,Arata Isozaki,2019,0,7/23/1931,12/28/2022,91_Arata_ Isozaki_2019,he passed away at the age of,91,,2019,Male,Japan,eye,Leo,Y,B.Arch,University of Tokyo,"(Tokyo, Japan, graduated in 1954)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2019,NA,9,,"worked,",,,before established his own practice.,56
7,2018,B.V.Doshi,2018,0,8/26/1927,1/24/2023,95_B_V_Doshi_2018,he passed away at the age of,95,,2018,Male,India,glass,Virgo,Y,B.Arch,Sir J. J. College of Architecture,"(Mumbai, India, graduated in 1950)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2018,Y,6,,"worked,",,,before established his own practice.,62
8,2017,Rafael Aranda ,2017_1,1,5/12/1961,8/11/2023,62,he is at the age of,62,,2017_1,Male,Spain,eye,Taurus,Y,B.Arch,The Polytechnic University of Catalonia,"(Barcelona, Spain, graduated in 1987)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2017_1,NA,1,,,,,established his own practice the following year of graduation.,29
9,2017,Carme Pigem,2017_2,1,4/8/1962,8/11/2023,61,she is at the age of,61,,2017_2,Female,Spain,eye,Aries,Y,B.Arch,The Polytechnic University of Catalonia,"(Barcelona, Spain, graduated in 1987)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2017_2,NA,1,,,,,established her own practice the following year of graduation.,29
10,2017,Ramon Vilalta,2017_3,1,4/25/1960,8/11/2023,63,he is at the age of,63,,2017_3,Male,Spain,eye,Taurus,Y,B.Arch,The Polytechnic University of Catalonia,"(Barcelona, Spain, graduated in 1987)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2017_3,NA,1,,,,,established his own practice the following year of graduation.,29
11,2016,Alejandro Aravena,2016,1,6/22/1967,8/11/2023,56,he is at the age of,56,", the youngest of the laureates alive.",2016,Male,Chile,eye,Cancer,Y,M.Arch,Pontifical Catholic University of Chile,"(Santiago, Chile, graduated in 1992)",  ->  Iuav University of Venice,"(Venice, Italy,  graduated in 1993)",,,Y,chileToItaly,,Iuav University of Venice,"(Venice, Italy,  graduated in 1993)",,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2016,NA,2,"studied,",,,,before established his own practice.,22
12,2015,Frei Otto,2015,0,5/31/1925,3/9/2015,89_Frei_Otto_2015,he passed away at the age of,89,,2015,Male,Germany,eye,Gemini,Y,D.Eng,Technical University of Berlin ,"(Berlin, Germany)",  ->  University of Virginia,"(Virginia, United States)",,,Y,GermanyToUS,,University of Virginia,"(Virginia, United States)",,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2015,NA,2,"studied,",,"traveled,",,before established his own practice.,63
13,2014,Shigeru Ban,2014,1,8/5/1957,8/11/2023,66,he is at the age of,66,,2014,Male,Japan,eye,Leo,Y,B.Arch,Tokyo University of the Arts,"(Tokyo, Japan)",  ->  Southern California Institute of Architecture,"(Los Angelers, United States) ", Cooper Union's School of Architecture ,"(New York City, United Sates)",Y,JapanToUS,,Southern California Institute of Architecture,"(Los Angelers, United States) ", -> Cooper Union's School of Architecture ,"(New York City, United Sates)",,,Y,had wanted to be ,"a carpenter, ",,,and ,a rugby player.,,Y,Y,had took a trip to,Europe,"after graduated from  Cooper Union. In Finland, he stunned by",the works of Alvar Aalto.,,,,,,Y,2014,NA,5,"studied,","worked,","traveled,",,before established his own practice.,29
14,2013,Toyo Ito,2013,1,6/1/1941,8/11/2023,82,he is at the age of,82,,2013,Male,Japan,glass,Gemini,Y,B.Arch,University of Tokyo,"(Tokyo, Japan, graduated in 1965)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,had wanted to be ,a baseball player.,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,Y,2013,NA,6,,"worked,",,,before established his own practice.,42
15,2012,Wang Shu,2012,1,11/4/1963,8/11/2023,59,he is at the age of,59,,2012,Male,China,glass,Scorpio,Y,D.Arch,Southeast University,"(Nanjing, China, graduated in 1985, 1988)",  ->  Tongji University,"(Shanghai, China, graduated in 2000)",,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2012,NA,12,"studied,","worked,",,"taught,",before established his own practice.,15
16,2011,Eduardo Souto de Moura,2011,1,7/25/1952,8/11/2023,71,he is at the age of,71,,2011,Male,Portugal,glass,Leo,Y,B.Arch,University of Porto,"(Porto, Portugal, graduated in 1980)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,began as an art student studying ,sculpture.,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,Y,2011,NA,0,,,,,"had worked as a student, and established his own practice the same year with graduation.",31
17,2010,Kazuyo Sejim ,2010_1,1,10/29/1956,8/11/2023,66,she is at the age of,66,,2010_1,Female,Japan,glass,Aquarius,Y,M.Arch,Japan Women's University,"(Tokyo, Japan, graduated in 1979)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,Y,2010_1,NA,8,"studied,","worked,",,,"before established her own practice in 1987, and establish SANAA with  Ryue Nishizawa in 1995.",23
18,2010,Ryue Nishizawa,2010_2,1,2/7/1966,8/11/2023,57,he is at the age of,57,,2010_2,Male,Japan,eye,Scorpio,Y,B.Arch,Yokohama National University,"(Yokohama, Japan)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,Y,2010_2,NA,7,,"worked,",,,"before established SANAA with Kazuyo Sejim in 1995, and establish Office of Ryue Nishizawa in 1997.",15
19,2009,Peter Zumthor,2009,1,4/26/1943,8/11/2023,80,he is at the age of,80,,2009,Male,Switzerland,eye,Taurus,N,NA,Pratt Institute,"(New York, United States)",,,,,Y,SwitzerlandToUS,,Pratt Institute,"(New York, United States)",,,,,Y,had trained as,,,a cabinet maker.,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2009,NA,13,,"worked,",,,before established his own practice.,30
20,2008,Jean Nouvel,2008,1,8/12/1945,8/11/2023,77,he is at the age of,77,,2008,Male,France,eye,Leo,Y,B.Arch,PSL Research University,"(Paris, France)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,had reached a compromise with parents to study architecture instead of ,art,,,,,,N,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2008,NA,0,,,,,established his own practice the same year with graduation.,38
21,2007,Richard Rogers,2007,0,7/23/1933,12/18/2021,88_Richard_Rogers_2007,he passed away at the age of,88,,2007,Male,Italy (United Kingdom),eye,Leo,Y,M.Arch,Epsom School of Art,"(Now University for the Creative Arts, Epsom, United Kingdom)",  ->  Architectural Association School of Architecture,"(London, United Kingdom, 1954 - 1959)",  ->  Yale University,"(New Haven, United States, graduated in 1962)",Y,ukToUS,,Yale University,"(New Haven, United States, graduated in 1962)",,,,,NA,didn't mention about other career in the biography.,,,,,,,N,Y,had made a number of trips across,the United States ,"while in Yale,  seeing"," the works of  Frank LIoyd Wright, Mies vaan der Rohe, Louis Kahn", and etc.,,,,,Y,2007,NA,4,"studied,",,"traveled,",,before established his own practice.,44
22,2006,Paulo Mendes da Rocha,2006,1,10/25/1928,8/11/2023,94,he is at the age of,94,", among the oldest of the laureates alive.",2006,Male,Brazil,eye,Scorpio,Y,B.Arch,Mackenzie Presbyterian University,"(Sao Paulo, Brazil, 1954)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2006,NA,1,,,,,established his own practice the following year of graduation.,51
23,2005,Thom Mayne,2005,1,1/19/1944,8/11/2023,79,he is at the age of,79,,2005,Male,United States,glass,Capricorn,Y,M.Arch,University of Southern California,"(Los Angeles, United States, 1968)",  ->  Harvard University ,"(GSD, Cambridge, United States, 1978)",,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2005,NA,4,,"worked,",,"taught,","co-created Southern California Institute of Architecture, before established his own practice.",33
24,2004,Zaha Hadid,2004,0,10/31/1950,3/31/2016,65_Zaha_Hadid_2004,she passed away at the age of,65,,2004,Female,Iraq (United Kingdom),eye,Scorpio,Y,B.Arch,Architectural Association School of Architecture,"(AA, London, United Kingdom, 1972)",,,,,Y,IraqToUS,,Architectural Association School of Architecture,"(AA, London, United Kingdom, 1972)",,,,,Y,had studied ,mathematics,,,in the college.,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,Y,2004,NA,3,,"worked,",,,before established her own practice.,24
25,2003,Jorn Utzon,2003,0,4/9/1918,11/29/2008,90_Jorn_Utzon_2003,he passed away at the age of,90,,2003,Male,Denmark,eye,Aries,Y,B.Arch,Royal Danish Academy of Fine Arts,"(Copenhagen, Denmark, gratuated in 1942)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,had interested in becoming ,,,a naval architect,like his father.,,,Y,Y,had traveled extensively,around the world ,from 1947 to 1957.,,,,,,,Y,2003,NA,8,,"worked,","traveled,",,before established his own practice.,53
26,2002,Glenn Murcutt,2002,1,7/25/1936,8/11/2023,87,he is at the age of,87,,2002,Male,Australia,glass,Leo,Y,B.Arch,University of New South Wales,"(Sydney, Australia)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,Y,had went on a two year-trip to,Europe, after graduated from college.,,,,,,,N,2002,NA,8,,"worked,","traveled,",,before established his own practice.,33
27,2001,Jacques Herzog,2001_1,1,4/19/1950,8/11/2023,73,he is at the age of,73,,2001_1,Male,Switzerland,eye,Taurus,Y,B.Arch,ETH Zurich,"(Zurich, Switzerland)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,had studied ,"commercial design, ",,,and ,biology and chemistry.,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2001_1,NA,3,,,,,established his own practice with Jacques Herzog in 1978 .,23
28,2001,Pierre de Meuron,2001_2,1,5/8/1950,8/11/2023,73,he is at the age of,73,,2001_2,Male,Switzerland,eye,Aries,Y,B.Arch,ETH Zurich,"(Zurich, Switzerland)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,had studied ,civil engineering.,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2001_2,NA,3,,,,,established his own practice Pierre de Meuron in 1978.,23
29,2000,Rem Koolhaas,2000,1,11/17/1944,8/11/2023,78,he is at the age of,78,,2000,Male,Netherland,eye,Scorpio,Y,B.Arch,Architectural Association School of Architecture,"(London, United Kingdom, 1968)",  ->  Cornell University,"(Itchaca, United States, 1972)",  ->  Institute for Architecture and Urban Studies,"(New York City, United States)",Y,NToUKToUS,,Architectural Association School of Architecture,"(London, United Kingdom, 1968)",  ->  Cornell University,"(Itchaca, United States, 1972)",  ->  Institute for Architecture and Urban Studies,"(New York City, United States)",Y,had began his career as ,,"a journalist, ",,and ,,a scriptwriter.,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,Y,2000,NA,3,"studied,",,,,before established his own practice.,25
30,1999,Norman Foster,1999,1,6/1/1935,8/11/2023,88,he is at the age of,88,,1999,Male,United Kingdom,eye,Gemini,Y,M.Arch,University of Manchester,"(Manchester, United Kingdom, 1956)",  ->  Yale University,"(New Haven, United States)",,,Y,ukToUS,,Yale University,"(New Haven, United States)",,,,,NA,didn't mention about other career in the biography.,,,,,,,N,Y,had made a number of trips across,the United States," while in Yale, seeing","the works of  Frank Lioyd Wright, Mies vaan der Rohe, Louis Kahn ",and etc.,,,,,Y,1999,NA,2,"studied,",,,,before established his own practice.,36
31,1998,Renzo Piano,1998,1,9/14/1937,8/11/2023,85,he is at the age of,85,,1998,Male,Italy,eye,Virgo,Y,B.Arch,Polytechnic University of Milan,"(Milan, Italy, graduated in 1964)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,Y,1998,NA,7,,"worked,",,"taught,",before established his own practice with Richard Rogers (1971 - 1977).,27
32,1997,Sverre Fehn,1997,0,8/14/1924,2/23/2009,84_Sverre_Fehn_1997,he passed away at the age of,84,,1997,Male,Norway,eye,Leo,Y,B.Arch,The Oslo School of Architecture and Design,"(Oslo, Norway, 1946 - 1949)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,Y,had traveled to,Morocco,"where  its native  architecture	deeply infulenced his future work.",,,,,,,Y,1997,NA,5,,"worked,","traveled,",,before established his own practice.,43
33,1996,Rafael Moneo,1996,1,5/9/1937,8/11/2023,86,he is at the age of,86,,1996,Male,Spain,glass,Taurus,Y,B.Arch,Technical University of Madrid,"(Madrid, Spain, graduated in 1961)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,was attracted to ,philosophy ,,,and, painting,,Y,Y,had traveled around,the Scandinavian countries, where he met with,,,"Alvar Aalto,",and then studied and traveled around  at the Spanish Academy in Rome.,,,Y,1996,NA,4,,"worked,","traveled,",,before established his own practice.,31
34,1995,Tadao Ando,1995,1,9/13/1941,8/11/2023,81,he is at the age of,81,,1995,Male,Japan,eye,Virgo,N,NA,Tadao Ando is a self-taught architect.,,,,,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,had been ,,a boxer.,,,,,Y,Y,had traveled to, Europe and the United States,"in 1960s, visiting","works of Le Corbusier, Mies van der Rohe, Frank Lioyd Wright, Louis Kahn ",and etc.,,,,,N,1995,Y,1995,,,"traveled,",,before established his own practice (without formal training as an architect).,27
35,1994,Christian de Portzamparc,1994,1,5/5/1944,8/11/2023,79,he is at the age of,79,,1994,Male,France,eye,Taurus,Y,B.Arch,PSL Research University,"(Paris, France, 1962)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,"had hesitated to be an architect, during which he taveled, and joined study groups.",,,,,,,N,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,1994,Y,11,,,"traveled,",,before established his own practice.,14
36,1993,Fumihiko Maki,1993,1,9/6/1928,8/11/2023,94,he is at the age of,94,", among the oldest of the laureates alive.",1993,Male,Japan,glass,Virgo,Y,M.Arch,University of Tokyo,"(Tokyo, Japan, graduated in 1952)",  ->  Cranbrook Educational Community,"(Bloomfield Hills, United States, graduated in 1953)",  ->  Harvard University,"(GSD, Cambridge, United States, graduated in 1954)",Y,JapanToUS,,Cranbrook Educational Community,"(Bloomfield Hills, United States, graduated in 1953)",  ->  Harvard University,"(GSD, Cambridge, United States, graduated in 1954)",,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,1993,NA,13,"studied,","worked,",,"taught,",before established his own practice.,28
37,1992,Alvaro Siza Vieira,1992,1,6/25/1933,8/11/2023,90,he is at the age of,90,,1992,Male,Portugal,glass,Cancer,Y,B.Arch,University of Porto,"(Porto, Portugal, graduated in 1955)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,Y,1992,NA,-1,,,,,established his own practice one year before graduation.,38
38,1991,Robert Venturi,1991,0,6/25/1925,9/18/2018,93_Robert_Venturi_1991,he passed away at the age of,93,,1991,Male,United States,glass,Cancer,Y,MFA,Princeton University,"(New Jersey, United States, graduated in 1947, 1950)",  -> American Academy in Rome,"(Rome, Italy, 1954 -1956)",,,Y,usToItaly,,American Academy in Rome,"(Rome, Italy, 1954 -1956)",,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,Y,had studied and traveled in,Europe, while at the American Academy in Rome.,,,,,,,N,1991,Y,11,"studied,","worked,",,"taught,",before established his own practice.,33
39,1990,Aldo Rossi,1990,0,5/3/1931,9/4/1997,66_Aldo_Rossi_1990,he passed away at the age of,66,,1990,Male,Italy,eye,Taurus,Y,NA,Polytechnic University of Milan,"(Milan, Italy, 1949 - 1959)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,1990,NA,1990,,,,,"never established his own firm or studio, but began his professional career in 1956.",34
40,1989,Frank Gehry,1989,1,2/28/1929,8/11/2023,94,he is at the age of,94,", among the oldest of the laureates alive.",1989,Male,United States (Canada),glass,Pisces,Y,B.Arch,University of Southern California,"(Los Angeles, United States, graduated in 1954)",  ->  Harvard University,"(GSD, Cambridge, United States, 1956, left before completing the program)",,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,had tried ,"radio announcing, ",,,and ,chemical engineering.,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,1989,NA,8,"studied,","worked,",,,before established his own practice.,27
41,1988,Gordon Bunshaft,1988_1,0,5/9/1909,8/6/1990,81_Gordon_Bunshaft_1988,he passed away at the age of,81,,1988_1,Male,United States,eye,Sagittarius,Y,M.Arch,Massachusetts Institute of Technology,"(Cambridge, United States, graduated in 1933, 1935)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,N,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,1988_1,Y,1988_1,,,,,"never established his own firm or studio,  but joined SOM (1939-1942,  1946-1979) , U.S. Army Corps of Engineers (1942 -1946)",48
42,1988,Oscar Niemeyer,1988_2,0,12/15/1907,12/5/2012,104_Oscar_Niemeyer_1988,he passed away at the age of,104,,1988_2,Male,Brazil,eye,Taurus,Y,B.Arch,University of Brazil,"(Federal University of Rio de Janeiro, Rio, Brazil, graduated in 1934)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,1988_2,Y,1988_2,,"worked,",,,"before opened his office in Paris after 1964, but began his first practice, Pampulha Architectural Complex, in 1940.",51
43,1987,Kenzo Tange,1987,0,9/4/1913,3/22/2005,91_Kenzo_Tange_1987,he passed away at the age of,91,,1987,Male,Japan,eye,Virgo,Y,MUP,University of Tokyo,"(Tokyo, Japan, 1935)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,1987,Y,11,,,,"taught,",before established his own practice.,41
44,1986,Gottfried Bohm,1986,0,1/23/1920,6/9/2021,101_Gottfried_Bohm_1986,he passed away at the age of,101,,1986,Male,Germany,glass,Aquarius,N,B.E.,Technical University of Munich,"(Munich, Germany)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,Y,had studied and traveled in,"the United States,",and met,,,"Mies van der Rohe and Walter Groplus,",the architects he admired.,,,N,1986,NA,9,"studied,","worked,",,,before he took over the family firm in 1955.,31
45,1985,Hans Hollein,1985,0,3/30/1934,4/24/2014,80_Hans_Hollein_1985,he passed away at the age of,80,,1985,Male,Austria,eye,Aries,Y,M.Arch,Academy of Fine Arts Vienna,"(Vienna, Austria, graduated in 1956)",  ->  Illinois Institute of Technology,"(Chicago, United State)","  ->  University of California, Berkeley","(Berkeley, United States, graduated in 1960)",Y,austriaToUs,,Illinois Institute of Technology,"(Chicago, United State)","  ->  University of California, Berkeley","(Berkeley, United States, graduated in 1960)",,,NA,didn't mention about other career in the biography.,,,,,,,Y,Y,had studied and traveled in,"the United States,",and met,,,"Mies van der Rohe, Frank Lloyd Wright and Richard Neutra,",the architects he admired.,,,N,1985,NA,9,"studied,","worked,","traveled,",,before established his own practice.,20
46,1984,Richard Meier,1984,1,10/12/1934,8/11/2023,88,he is at the age of,88,,1984,Male,United States,glass,Libra,Y,B.Arch,Cornell University ,"(Itchaca, United States, graduated in 1957)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,N,Y,had traveled through,Europe,and,,,networked with other architects,after graduted from college.,,,N,1984,Y,6,,"worked,","traveled,",,before established his own practice.,21
47,1983,Ieoh Ming Pei,1983,0,4/26/1917,5/16/2019,102_Ieoh_Ming_Pei_1983,he passed away at the age of,102,,1983,Male,United States (China),glass,Taurus,Y,M.Arch,University of Pennsylvania,"(Philadelphia, United States)",  ->  Massachusetts Institute of Technology,"(Cambridge, United States) ",  ->  Harvard University,"(GSD, Cambridge, United States, graduated in 1946)",Y,ChinaToUS,,University of Pennsylvania,"(Philadelphia, United States)",  ->  Massachusetts Institute of Technology,"(Cambridge, United States) ",  ->  Harvard University,"(GSD, Cambridge, United States, graduated in 1946)",NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,1983,Y,15,"studied,","worked,",,"taught,",before established his own practice.,28
48,1982,Kevin Roche,1982,0,6/14/1922,3/1/2019,96_Kevin_Roche_1982,he passed away at the age of,96,,1982,Male,United States (Ireland),eye,Gemini,Y,B.Arch,University College Dublin,"(Dublin, Ireland, graduated in 1945)",  ->  Illinois Institute of Technology,"(Chicago, United States, 1948, left after only one semester)",,,Y,IrelandToUS,,Illinois Institute of Technology,"(Chicago, United States, 1948, left after only one semester)",,,,,NA,didn't mention about other career in the biography.,,,,,,,N,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,1982,NA,21,"studied,","worked,",,,before established his own practice.,16
49,1981,James Stirling,1981,0,4/26/1926,6/25/1992,66_James_Stirling_1981,he passed away at the age of,66,,1981,Male,United Kingdom,eye,Taurus,Y,B.Arch,University of Liverpool,"(Liverpool, United Kingdom, 1945 - 1950)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,1981,NA,5,,"worked,",,,before established his own practice.,26
50,1980,Luis Barragan,1980,0,3/9/1902,11/22/1988,86_Luis_Barragan_1980,he passed away at the age of,86,,1980,Male,Mexico,glass,Pisces,N,B.E.,Luis Barragan is a self-taught architect.,,,,,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,had trained in,engineering.,,,,,,N,Y,had traveled extansively in,"France and Spain,",and attended,,,Le Corbusier's,lecture while lived in Paris. Later in ,"Morroco,",he got interested in its native architecture.,N,1980,Y,1980,,,"traveled,",,before established his own practice (without formal training as an architect).,53
51,1979,Philip Johnson,1979,0,7/8/1906,1/25/2005,98_Philip_Johnson_1979,he passed away at the age of,98,,1979,Male,United States,glass,Cancer,Y,B.Arch,Harvard University,"(GSD, Cambridge, United States, 1941)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,had been,,"a museum director, ",,and briefly into ,,journalism and politics.,N,Y,had traveled through, Europe ,"after graduated in 1927, during which met",,, Mies van der Rohe.,,,,N,1979,NA,-2,,,,,"started his own practice two years before graduation, and opened his own firm in 1967.",38
